2024-10-19 10:59:00 - INFO - ep: 26/500, t: 35.719, train_loss: 2479.6903, batch_loss: 2186.5005, IC: 139.5150, EQ: 276.7979, BC_G: 1141.6637, BC_P: 450.9683, T_f: 0.0223, T_Pres: 1397.9473
2024-10-19 10:59:35 - INFO - ep: 27/500, t: 35.462, train_loss: 2825.9889, batch_loss: 2496.8191, IC: 166.0415, EQ: 302.3777, BC_G: 2196.0344, BC_P: 373.7807, T_f: 0.0359, T_Pres: 882.0988
2024-10-19 11:00:11 - INFO - ep: 28/500, t: 35.370, train_loss: 2588.8243, batch_loss: 2103.6985, IC: 137.1814, EQ: 360.3656, BC_G: 1000.3641, BC_P: 239.2400, T_f: 0.0199, T_Pres: 1619.2852
2024-10-19 11:00:46 - INFO - ep: 29/500, t: 35.424, train_loss: 3136.0653, batch_loss: 2093.8601, IC: 134.3402, EQ: 258.6487, BC_G: 1445.6970, BC_P: 406.8494, T_f: 0.0284, T_Pres: 1111.1088
2024-10-19 11:01:22 - INFO - ep: 30/500, t: 35.327, train_loss: 2689.2003, batch_loss: 1929.2551, IC: 83.2860, EQ: 193.5710, BC_G: 1468.2313, BC_P: 184.1667, T_f: 0.0000, T_Pres: 0.0000
2024-10-19 11:01:57 - INFO - ep: 31/500, t: 35.213, train_loss: 2491.3991, batch_loss: 1968.4497, IC: 79.1632, EQ: 190.2200, BC_G: 1388.8762, BC_P: 310.1904, T_f: 0.0000, T_Pres: 0.0000
2024-10-19 11:02:32 - INFO - ep: 32/500, t: 35.095, train_loss: 2567.5465, batch_loss: 4332.0938, IC: 152.4289, EQ: 320.0438, BC_G: 1819.7422, BC_P: 512.3495, T_f: 0.0779, T_Pres: 1656.9453
2024-10-19 11:03:07 - INFO - ep: 33/500, t: 35.298, train_loss: 2294.5480, batch_loss: 2377.7881, IC: 130.6683, EQ: 252.2400, BC_G: 1420.6234, BC_P: 660.6851, T_f: 0.0305, T_Pres: 1450.5585
2024-10-19 11:03:42 - INFO - ep: 34/500, t: 35.306, train_loss: 2328.6563, batch_loss: 4693.4385, IC: 128.9448, EQ: 297.0405, BC_G: 2187.5010, BC_P: 746.9570, T_f: 0.0816, T_Pres: 1506.8822
2024-10-19 11:04:18 - INFO - ep: 35/500, t: 35.261, train_loss: 2200.0882, batch_loss: 2396.3787, IC: 140.4914, EQ: 259.1797, BC_G: 981.4445, BC_P: 191.0461, T_f: 0.0252, T_Pres: 1932.3318
2024-10-19 11:04:53 - INFO - ep: 36/500, t: 35.346, train_loss: 2657.7859, batch_loss: 2405.2085, IC: 69.8876, EQ: 160.2397, BC_G: 1615.7739, BC_P: 559.3073, T_f: 0.0000, T_Pres: 0.0000
2024-10-19 11:05:28 - INFO - ep: 37/500, t: 35.316, train_loss: 2228.8465, batch_loss: 1708.5823, IC: 200.1221, EQ: 346.5492, BC_G: 864.8037, BC_P: 208.5341, T_f: 0.0191, T_Pres: 876.9089
2024-10-19 11:06:04 - INFO - ep: 38/500, t: 35.636, train_loss: 2699.7309, batch_loss: 2869.3647, IC: 129.8544, EQ: 223.7338, BC_G: 1408.9678, BC_P: 413.9751, T_f: 0.0443, T_Pres: 1477.3230
